,"score","names_wiki+googleart+wga+meisterwerke","dates_wiki+googleart+wga+meisterwerke","names_moma","dates_moma","is_same","artist_id_wiki+googleart+wga+meisterwerke","artist_id_moma","idx","total_works_count","year_diff"
179,100,"[ali talib]","[1944, 2099]","[ali]","[1956, 2099]",0,"googleart_m0vs9qyx","moma_mdvt-ali-6837","(4832, 422)",4,"[12, 0]"
180,84,"[jong gu lee]","[1954, 2099]","[lee jong-ok]","[1971, 2099]",0,"googleart_m0vs9t46","moma_mdvt-lee-jong-ok-29742","(4841, 6595)",51,"[17, 0]"
181,86,"[lu yang]","[1984, 2099]","[li yang]","[1959, 2099]",0,"googleart_m0vs9tks","moma_mdvt-li-yang-44329","(4844, 6703)",0,"[25, 0]"
99,100,"[manuel rivera, manuel rivera hernández]","[1927, 1995]","[manuel rivera]","[1927, 1994]",1,"googleart_m0vs9tq6","moma_mdvt-manuel-rivera-4943","(1518, 7102)",26,"[0, 1]"
182,86,"[brk]","[2014.0, 2014.0]","[björk]","[1965, 2099]",0,"googleart_t218rckd2ks","moma_mdvt-björk-38789","(4917, 1252)",3,"[49.0, 85.0]"
183,100,"[billy]","[2014.0, 2014.0]","[billy apple]","[1935, 2099]",0,"googleart_t218rckd533","moma_mdvt-billy-apple-38257","(4922, 1233)",1,"[79.0, 85.0]"
184,100,"[billy]","[2014.0, 2014.0]","[billy squier]","[1950, 2099]",0,"googleart_t218rckd533","moma_mdvt-billy-squier-47844","(4922, 1236)",1,"[64.0, 85.0]"
185,100,"[billy]","[2014.0, 2014.0]","[billy sullivan]","[1946, 2099]",0,"googleart_t218rckd533","moma_mdvt-billy-sullivan-8377","(4922, 1237)",7,"[68.0, 85.0]"
186,100,"[billy]","[2014.0, 2014.0]","[billy woodberry]","[1950, 2099]",0,"googleart_t218rckd533","moma_mdvt-billy-woodberry-69597","(4922, 1238)",1,"[64.0, 85.0]"
187,100,"[billy]","[2014.0, 2014.0]","[billy childish]","[1959, 2099]",0,"googleart_t218rckd533","moma_mdvt-billy-childish-46872","(4922, 1234)",1,"[55.0, 85.0]"
188,100,"[billy]","[2014.0, 2014.0]","[billy al bengston]","[1934, 2099]",0,"googleart_t218rckd533","moma_mdvt-billy-al-bengston-472","(4922, 1232)",23,"[80.0, 85.0]"
189,100,"[billy]","[2014.0, 2014.0]","[billy name]","[1940, 2099]",0,"googleart_t218rckd533","moma_mdvt-billy-name-46786","(4922, 1235)",1,"[74.0, 85.0]"
191,100,"[chu]","[2012.0, 2013.0]","[anne chu]","[1959, 2016]",0,"googleart_t218rckdgwb","moma_mdvt-anne-chu-27154","(4946, 657)",8,"[53.0, 3.0]"
190,100,"[chu]","[2012.0, 2013.0]","[robin chu]","[1951, 2099]",0,"googleart_t218rckdgwb","moma_mdvt-robin-chu-6608","(4946, 9558)",6,"[61.0, 86.0]"
199,100,"[don]","[2011.0, 2014.0]","[don nice]","[1932, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-nice-4290","(4971, 2464)",7,"[79.0, 85.0]"
198,100,"[don]","[2011.0, 2014.0]","[don hunstein]","[1928, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-hunstein-47175","(4971, 2463)",6,"[83.0, 85.0]"
197,100,"[don]","[2011.0, 2014.0]","[don hogan charles/the new york times]","[1938, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-hogan-charles/the-new-york-times-8524","(4971, 2462)",6,"[73.0, 85.0]"
196,100,"[don]","[2011.0, 2014.0]","[don eddy]","[1944, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-eddy-1678","(4971, 2461)",8,"[67.0, 85.0]"
200,100,"[don]","[2011.0, 2014.0]","[don rodan]","[1950, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-rodan-6831","(4971, 2466)",6,"[61.0, 85.0]"
194,100,"[don]","[2011.0, 2014.0]","[don brown]","[1962, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-brown-7541","(4971, 2458)",9,"[49.0, 85.0]"
193,100,"[don]","[2011.0, 2014.0]","[don argott]","[1972, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-argott-44595","(4971, 2457)",6,"[39.0, 85.0]"
192,100,"[don]","[2011.0, 2014.0]","[don wight]","[1924, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-wight-6359","(4971, 2469)",6,"[87.0, 85.0]"
195,100,"[don]","[2011.0, 2014.0]","[don doe]","[1963, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-doe-28610","(4971, 2459)",7,"[48.0, 85.0]"
201,100,"[don]","[2011.0, 2014.0]","[don roos]","[1955, 2099]",0,"googleart_t218rckdwm4","moma_mdvt-don-roos-41846","(4971, 2467)",6,"[56.0, 85.0]"
203,100,"[enzo]","[2010.0, 2011.0]","[enzo mari]","[1932, 2099]",0,"googleart_t218rckf0_h","moma_mdvt-enzo-mari-3766","(4983, 2910)",2,"[78.0, 88.0]"
202,100,"[enzo]","[2010.0, 2011.0]","[enzo cucchi]","[1949, 2099]",0,"googleart_t218rckf0_h","moma_mdvt-enzo-cucchi-1323","(4983, 2909)",4,"[61.0, 88.0]"
204,100,"[grito]","[2001.0, 2001.0]","[el ultimo grito]","[1997, 2099]",0,"googleart_t218rckf5t_","moma_mdvt-el-ultimo-grito-32717","(5000, 2745)",5,"[4.0, 98.0]"
205,100,"[kram]","[2004.0, 2011.0]","[reed kram]","[1971, 2099]",0,"googleart_t218rckfxpf","moma_mdvt-reed-kram-30965","(5050, 9129)",5,"[33.0, 88.0]"
206,100,"[kram]","[2004.0, 2011.0]","[kram/weisshaar]","[2002, 2099]",0,"googleart_t218rckfxpf","moma_mdvt-kram/weisshaar-36091","(5050, 6444)",5,"[2.0, 88.0]"
207,100,"[lister]","[1979, 2099]","[ardele lister]","[1950, 2099]",0,"googleart_t218rckg16c","moma_mdvt-ardele-lister-34816","(5057, 791)",4,"[29, 0]"
208,100,"[mar]","[2001.0, 2014.0]","[mar jean kettunen]","[1926, 2099]",0,"googleart_t218rckg77m","moma_mdvt-mar-jean-kettunen-3076","(5066, 7111)",10,"[75.0, 85.0]"
211,100,"[nina]","[2013.0, 2014.0]","[nina rosenblum]","[1955, 2099]",0,"googleart_t218rckghgd","moma_mdvt-nina-rosenblum-42714","(5087, 8202)",3,"[58.0, 85.0]"
212,100,"[nina]","[2013.0, 2014.0]","[nina lola bachhuber]","[1971, 2099]",0,"googleart_t218rckghgd","moma_mdvt-nina-lola-bachhuber-28551","(5087, 8201)",4,"[42.0, 85.0]"
209,100,"[nina]","[2013.0, 2014.0]","[nina bovasso]","[1965, 2099]",0,"googleart_t218rckghgd","moma_mdvt-nina-bovasso-31697","(5087, 8199)",4,"[48.0, 85.0]"
210,100,"[nina]","[2013.0, 2014.0]","[nina serrano]","[1934, 2099]",0,"googleart_t218rckghgd","moma_mdvt-nina-serrano-43063","(5087, 8203)",3,"[79.0, 85.0]"
213,100,"[ned]","[2007.0, 2014.0]","[ned sublette]","[1951, 2099]",0,"googleart_t218rckgkg0","moma_mdvt-ned-sublette-47852","(5093, 8083)",72,"[56.0, 85.0]"
214,100,"[ned]","[2007.0, 2014.0]","[ned truss]","[1939, 2099]",0,"googleart_t218rckgkg0","moma_mdvt-ned-truss-6797","(5093, 8084)",72,"[68.0, 85.0]"
215,100,"[roma]","[2004.0, 2014.0]","[thomas roma]","[1950, 2099]",0,"googleart_t218rckh8v3","moma_mdvt-thomas-roma-5006","(5128, 10642)",7,"[54.0, 85.0]"
216,100,"[sam]","[1958, 2099]","[sam hecht]","[1969, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-hecht-22582","(5139, 9829)",4,"[11, 0]"
217,100,"[sam]","[1958, 2099]","[sam salisbury]","[1977, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-salisbury-28787","(5139, 9837)",6,"[19, 0]"
218,100,"[sam]","[1958, 2099]","[sam lewitt]","[1981, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-lewitt-46637","(5139, 9832)",4,"[23, 0]"
219,100,"[sam]","[1958, 2099]","[sam watters]","[1954, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-watters-28849","(5139, 9843)",5,"[4, 0]"
226,100,"[sam]","[1958, 2099]","[sam scheinberg]","[1941, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-scheinberg-29240","(5139, 9838)",4,"[17, 0]"
221,100,"[sam]","[1958, 2099]","[sam medical products, a division of the seaberg company, inc.]","[1985, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-medical-products,-a-division-of-the-seaberg-company,-inc.-27993","(5139, 9834)",4,"[27, 0]"
222,100,"[sam]","[1958, 2099]","[sam mendes]","[1965, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-mendes-45684","(5139, 9835)",4,"[7, 0]"
223,100,"[sam]","[1958, 2099]","[sam taylor-wood]","[1967, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-taylor-wood-7550","(5139, 9841)",4,"[9, 0]"
224,100,"[sam]","[1958, 2099]","[sam szafran]","[1934, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-szafran-5761","(5139, 9840)",4,"[24, 0]"
225,100,"[sam]","[1958, 2099]","[sam raimi]","[1959, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-raimi-41850","(5139, 9836)",4,"[1, 0]"
220,100,"[sam]","[1958, 2099]","[sam shepard]","[1943, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-shepard-32204","(5139, 9839)",4,"[15, 0]"
227,100,"[sam]","[1958, 2099]","[sam gilliam]","[1933, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-gilliam-2161","(5139, 9826)",8,"[25, 0]"
229,100,"[sam]","[1958, 2099]","[sam durant]","[1961, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-durant-33965","(5139, 9823)",6,"[3, 0]"
228,100,"[sam]","[1958, 2099]","[sam gordon]","[1973, 2099]",0,"googleart_t218rckhfc8","moma_mdvt-sam-gordon-28644","(5139, 9828)",5,"[15, 0]"
231,100,"[san]","[2008.0, 2013.0]","[rael san fratello]","[2002, 2099]",0,"googleart_t218rckhfyb","moma_mdvt-rael-san-fratello-49453","(5142, 8996)",6,"[6.0, 86.0]"
230,100,"[san]","[2008.0, 2013.0]","[virginia san fratello]","[1971, 2099]",0,"googleart_t218rckhfyb","moma_mdvt-virginia-san-fratello-49889","(5142, 11056)",6,"[37.0, 86.0]"
233,100,"[seth]","[2006.0, 2015.0]","[seth tobocman]","[1958, 2099]",0,"googleart_t218rckhkgy","moma_mdvt-seth-tobocman-7098","(5149, 10003)",25,"[48.0, 84.0]"
232,100,"[seth]","[2006.0, 2015.0]","[seth price]","[1973, 2099]",0,"googleart_t218rckhkgy","moma_mdvt-seth-price-32690","(5149, 10002)",26,"[33.0, 84.0]"
235,100,"[tone]","[2009.0, 2014.0]","[yasunao tone]","[1935, 2099]",0,"googleart_t218rckj0f5","moma_mdvt-yasunao-tone-36959","(5174, 11523)",6,"[74.0, 85.0]"
234,100,"[tone]","[2009.0, 2014.0]","[tone vigeland]","[1938, 2099]",0,"googleart_t218rckj0f5","moma_mdvt-tone-vigeland-6619","(5174, 10778)",4,"[71.0, 85.0]"
236,100,"[zadok]","[2014.0, 2014.0]","[zadok ben-david]","[1949, 2099]",0,"googleart_t218rckj96t","moma_mdvt-zadok-ben-david-40912","(5185, 11607)",6,"[65.0, 85.0]"
237,86,"[does]","[2004.0, 2011.0]","[dos]","[1985, 2099]",0,"googleart_t218tpdj9vn","moma_mdvt-dos-47620","(5223, 2521)",5,"[19.0, 88.0]"
238,100,"[momo]","[2004.0, 2012.0]","[sahlan momo]","[1944, 2099]",0,"googleart_t218tpdkcc6","moma_mdvt-sahlan-momo-4055","(5233, 9809)",22,"[60.0, 87.0]"
241,100,"[boris]","[2012.0, 2013.0]","[boris frumin]","[1946, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-frumin-48092","(5265, 1300)",4,"[66.0, 86.0]"
242,100,"[boris]","[2012.0, 2013.0]","[boris bućan]","[1947, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-bućan-840","(5265, 1299)",4,"[65.0, 86.0]"
243,100,"[boris]","[2012.0, 2013.0]","[boris berlin]","[1953, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-berlin-26840","(5265, 1298)",4,"[59.0, 86.0]"
244,100,"[boris]","[2012.0, 2013.0]","[boris orlov]","[1941, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-orlov-40513","(5265, 1306)",4,"[71.0, 86.0]"
239,100,"[boris]","[2012.0, 2013.0]","[boris lurie]","[1924, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-lurie-3642","(5265, 1301)",4,"[88.0, 86.0]"
240,100,"[boris]","[2012.0, 2013.0]","[boris yaro]","[1938, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-yaro-6919","(5265, 1307)",4,"[74.0, 86.0]"
245,100,"[boris]","[2012.0, 2013.0]","[boris mikhailov]","[1938, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-mikhailov-8168","(5265, 1304)",4,"[74.0, 86.0]"
246,100,"[boris]","[2012.0, 2013.0]","[boris manner]","[1961, 2099]",0,"googleart_t2194x6q9tz","moma_mdvt-boris-manner-30983","(5265, 1302)",4,"[51.0, 86.0]"
247,100,"[diamond]","[2012.0, 2012.0]","[stuart diamond]","[1942, 2099]",0,"googleart_t2194x6s3kt","moma_mdvt-stuart-diamond-1526","(5274, 10351)",4,"[70.0, 87.0]"
248,100,"[diamond]","[2012.0, 2012.0]","[bob diamond]","[1946, 2099]",0,"googleart_t2194x6s3kt","moma_mdvt-bob-diamond-68290","(5274, 1267)",4,"[66.0, 87.0]"
251,100,"[diamond]","[2012.0, 2012.0]","[sara diamond]","[1954, 2099]",0,"googleart_t2194x6s3kt","moma_mdvt-sara-diamond-35618","(5274, 9890)",4,"[58.0, 87.0]"
250,100,"[diamond]","[2012.0, 2012.0]","[martha diamond]","[1944, 2099]",0,"googleart_t2194x6s3kt","moma_mdvt-martha-diamond-1525","(5274, 7381)",4,"[68.0, 87.0]"
249,100,"[diamond]","[2012.0, 2012.0]","[jessica diamond]","[1957, 2099]",0,"googleart_t2194x6s3kt","moma_mdvt-jessica-diamond-25977","(5274, 5323)",4,"[55.0, 87.0]"
252,100,"[fred le chevalier]","[2012.0, 2014.0]","[fred]","[1956, 2099]",0,"googleart_t2194x6tf41","moma_mdvt-fred-6838","(5288, 3442)",9,"[56.0, 85.0]"
253,100,"[mori]","[2014.0, 2014.0]","[mariko mori]","[1967, 2099]",0,"googleart_t2194x6ynxh","moma_mdvt-mariko-mori-8123","(5322, 7263)",3,"[47.0, 85.0]"
254,100,"[oz]","[1950, 2014]","[frank oz]","[1944, 2099]",0,"googleart_t2194x6zy1b","moma_mdvt-frank-oz-41873","(5336, 3375)",4,"[6, 85]"
255,100,"[steiner]","[2006.0, 2006.0]","[ron steiner]","[1952, 2099]",0,"googleart_t2194x7221t","moma_mdvt-ron-steiner-7579","(5356, 9665)",1,"[54.0, 93.0]"
257,100,"[steiner]","[2006.0, 2006.0]","[a.l. steiner]","[1967, 2099]",0,"googleart_t2194x7221t","moma_mdvt-a.l.-steiner-44274","(5356, 18)",1,"[39.0, 93.0]"
256,100,"[steiner]","[2006.0, 2006.0]","[michael steiner]","[1942, 2099]",0,"googleart_t2194x7221t","moma_mdvt-michael-steiner-5629","(5356, 7764)",1,"[64.0, 93.0]"
258,100,"[chris ""daze"" ellis]","[2007.0, 2007.0]","[daze (chris ellis)]","[1962, 2099]",1,"googleart_t219d5w7rqf","moma_mdvt-daze-(chris-ellis)-1420","(5377, 2302)",3,"[45.0, 92.0]"
259,86,"[alexandra rs]","[2001.0, 2007.0]","[alexandra clotfelter]","[1989, 2099]",0,"googleart_t219d95gflv","moma_mdvt-alexandra-clotfelter-43498","(5387, 359)",3,"[12.0, 92.0]"
294,85,"[alexandra rs]","[2001.0, 2007.0]","[alexander ross]","[1960, 2099]",0,"googleart_t219d95gflv","moma_mdvt-alexander-ross-28780","(355, 5387)",5,"[41.0, 92.0]"
260,100,"[belin]","[2005.0, 2011.0]","[valérie belin]","[1964, 2099]",0,"googleart_t219d95gsmd","moma_mdvt-valérie-belin-26479","(5402, 10945)",8,"[41.0, 88.0]"
261,100,"[brus]","[2010.0, 2014.0]","[günter brus]","[1938, 2099]",0,"googleart_t219d95gzb6","moma_mdvt-günter-brus-833","(5408, 4117)",12,"[72.0, 85.0]"
461,90,"[katharina grosse]","[1961, 2099]","[katharina bosse]","[1968, 2099]",0,"googleart_t219d95j_58","moma_mdvt-katharina-bosse-7970","(6199, 5465)",26,"[7, 0]"
262,86,"[ike]","[2010.0, 2014.0]","[nike]","[1964, 2099]",0,"googleart_t219d95jjxw","moma_mdvt-nike-43526","(5475, 8174)",3,"[46.0, 85.0]"
263,100,"[jake]","[2008.0, 2008.0]","[jake kasdan]","[1974, 2099]",0,"googleart_t219d95jnvc","moma_mdvt-jake-kasdan-44382","(5480, 4925)",1,"[34.0, 91.0]"
266,100,"[jake]","[2008.0, 2008.0]","[jake berthot]","[1939, 2014]",0,"googleart_t219d95jnvc","moma_mdvt-jake-berthot-529","(5480, 4923)",28,"[69.0, 6.0]"
265,100,"[jake]","[2008.0, 2008.0]","[jake tilson]","[1958, 2099]",0,"googleart_t219d95jnvc","moma_mdvt-jake-tilson-47764","(5480, 4926)",1,"[50.0, 91.0]"
264,100,"[jake]","[2008.0, 2008.0]","[jake chapman]","[1966, 2099]",0,"googleart_t219d95jnvc","moma_mdvt-jake-chapman-8266","(5480, 4924)",23,"[42.0, 91.0]"
267,100,"[june]","[2016.0, 2016.0]","[june leaf]","[1929, 2099]",0,"googleart_t219d95jw5z","moma_mdvt-june-leaf-3438","(5494, 6073)",1,"[87.0, 83.0]"
268,100,"[june]","[2016.0, 2016.0]","[june redfern]","[1951, 2099]",0,"googleart_t219d95jw5z","moma_mdvt-june-redfern-4838","(5494, 6074)",1,"[65.0, 83.0]"
269,100,"[mir]","[2015.0, 2015.0]","[aleksandra mir]","[1967, 2099]",0,"googleart_t219d95krwz","moma_mdvt-aleksandra-mir-33825","(5525, 286)",6,"[48.0, 84.0]"
270,100,"[virus]","[2015.0, 2016.0]","[philip virus]","[1971, 2099]",0,"googleart_t219d95mp1w","moma_mdvt-philip-virus-35604","(5586, 8838)",2,"[44.0, 83.0]"
271,86,"[alicè]","[2004.0, 2014.0]","[ali]","[1956, 2099]",0,"googleart_t219hrtq89m","moma_mdvt-ali-6837","(5605, 422)",9,"[48.0, 85.0]"
272,100,"[art mortimer]","[1986.0, 2011.0]","[mortimer]","[1941, 2099]",0,"googleart_t219hrtqd9g","moma_mdvt-mortimer-7075","(5610, 7964)",3,"[45.0, 88.0]"
273,85,"[christopher “daze” ellis]","[1982.0, 1988.0]","[christopher orr]","[1967, 2099]",0,"googleart_t219hrtqpy4","moma_mdvt-christopher-orr-28745","(5619, 1840)",7,"[15.0, 111.0]"
274,100,"[fred clarke]","[2013.0, 2013.0]","[fred]","[1956, 2099]",0,"googleart_t219hrtr8ph","moma_mdvt-fred-6838","(5639, 3442)",3,"[57.0, 86.0]"
370,84,"[fred clarke]","[2013.0, 2013.0]","[ed clark]","[1926, 2099]",0,"googleart_t219hrtr8ph","moma_mdvt-ed-clark-45801","(2613, 5639)",4,"[87.0, 86.0]"
275,86,"[gilbert shelton]","[1940, 2099]","[helen gilbert]","[1997.0, 1997.0]",0,"googleart_t219hrtr9fk","moma_mdvt-helen-gilbert-7876","(5641, 4352)",12,"[57.0, 102.0]"
276,100,"[gus]","[2011.0, 2014.0]","[gus van sant]","[1952, 2099]",0,"googleart_t219hrtrf2c","moma_mdvt-gus-van-sant-34944","(5647, 4062)",3,"[59.0, 85.0]"
277,100,"[hancock]","[2010.0, 2010.0]","[john lee hancock]","[1956, 2099]",0,"googleart_t219hrtrff3","moma_mdvt-john-lee-hancock-44377","(5650, 5616)",1,"[54.0, 89.0]"
279,100,"[hancock]","[2010.0, 2010.0]","[trenton doyle hancock]","[1974, 2099]",0,"googleart_t219hrtrff3","moma_mdvt-trenton-doyle-hancock-27713","(5650, 10832)",10,"[36.0, 89.0]"
278,100,"[hancock]","[2010.0, 2010.0]","[hancock laverne]","[1926, 2099]",0,"googleart_t219hrtrff3","moma_mdvt-hancock-laverne-7188","(5650, 4157)",1,"[84.0, 89.0]"
280,89,"[muck rock]","[2014.0, 2014.0]","[mick rock]","[1949, 2099]",0,"googleart_t219hrtsm_y","moma_mdvt-mick-rock-34933","(5671, 7806)",2,"[65.0, 85.0]"
281,100,"[sharp]","[1966, 2099]","[tim sharp]","[1974, 2099]",0,"googleart_t219hrttl_z","moma_mdvt-tim-sharp-31008","(5686, 10687)",7,"[8, 0]"
282,84,"[stephanie rond]","[1973, 2099]","[stephanie rothman]","[1936, 2099]",0,"googleart_t219hrtttf0","moma_mdvt-stephanie-rothman-49723","(5694, 10268)",9,"[37, 0]"
